name,price,rating,stock,category
Chrono Cross,"88,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Gears of War,"84,99 €",4 / 5,Out of Stock,"Action, Shooter, Third-Person, Sci-Fi, Arcade"
Sid Meier's Civilization II,"88,99 €",4 / 5,In stock,"Strategy, Turn-Based, Historic, General, 4X"
Halo 3,"81,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Ninja Gaiden Black,"88,99 €",4 / 5,In stock,"Action Adventure, Fantasy"
Super Mario Advance 4: Super Mario Bros. 3,"89,99 €",4 / 5,Out of Stock,"Action, Platformer, 2D"
Jet Grind Radio,"83,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Grim Fandango,"91,99 €",4 / 5,Out of Stock,"Adventure, General, 3D, Third-Person, Fantasy"
Resident Evil Code: Veronica,"85,99 €",4 / 5,In stock,"Action Adventure, Survival"
Diablo,"87,99 €",4 / 5,Out of Stock,"Role-Playing, Action RPG"
Metal Gear Solid 3: Subsistence,"91,99 €",4 / 5,In stock,"Action Adventure, Modern"
Metal Gear Solid 4: Guns of the Patriots,"88,99 €",4 / 5,Out of Stock,"Action Adventure, Modern, General"
Sid Meier's Civilization IV,"82,99 €",4 / 5,In stock,"Strategy, Turn-Based, Historic, 4X"
Virtua Fighter 4,"81,99 €",4 / 5,Out of Stock,"Action, Fighting, 3D"
Super Mario 64,"91,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Super Smash Bros. Brawl,"88,99 €",4 / 5,Out of Stock,"Action, Fighting, 3D, 2D"
Company of Heroes,"87,99 €",4 / 5,In stock,"Strategy, Real-Time, Historic, General"
Gran Turismo 2,"90,99 €",4 / 5,Out of Stock,"Driving, Racing, GT / Street"
The Last of Us Part II,"57,99 €",4 / 5,In stock,"General, Action Adventure, Survival"
Half-Life: Alyx,"92,99 €",4 / 5,Out of Stock,"Action, First-Person, Shooter, Arcade"
Divinity: Original Sin II,"88,99 €",4 / 5,In stock,"Action RPG, Role-Playing, Western-Style"
Unreal Tournament 2004,"88,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
God of War II,"90,99 €",4 / 5,In stock,"Action Adventure, Fantasy"
Super Mario 3D World,"89,99 €",4 / 5,Out of Stock,"Platformer, 3D, Action"
Starcraft II: Wings of Liberty,"83,99 €",4 / 5,In stock,"Strategy, Real-Time, Sci-Fi, Command"
Minecraft,"80,99 €",4 / 5,Out of Stock,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy"
Persona 4 Golden,"86,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG, Japanese-Style"
Persona 5,"87,99 €",4 / 5,Out of Stock,"Role-Playing, Japanese-Style"
Quake III Arena,"83,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi"
Homeworld,"88,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Sci-Fi, General, Command"
Gears of War 2,"79,99 €",4 / 5,In stock,"Action, Shooter, Third-Person, Sci-Fi, Arcade"
World Soccer Winning Eleven 6 International,"84,99 €",4 / 5,Out of Stock,"Sports, Traditional, Soccer, Sim"
Skies of Arcadia,"88,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
The Legend of Zelda: Skyward Sword,"81,99 €",4 / 5,Out of Stock,"Fantasy, General, Action Adventure, Open-World"
Mario Kart Super Circuit,"78,99 €",4 / 5,In stock,"Driving, Racing, Kart"
Test Drive Le Mans,"83,99 €",4 / 5,Out of Stock,"Driving, Racing, GT / Street"
NBA 2K1,"72,99 €",4 / 5,In stock,"Sports, Traditional, Basketball, Sim"
Virtua Fighter 4: Evolution,"87,99 €",4 / 5,Out of Stock,"Action, Fighting, 3D"
Uncharted 4: A Thief's End,"88,99 €",4 / 5,In stock,"General, Modern, Action Adventure, Linear"
Super Smash Bros. Ultimate,"86,99 €",4 / 5,Out of Stock,"Action, Fighting, 2D"
Paper Mario,"90,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Wipeout XL,"86,99 €",4 / 5,Out of Stock,"Driving, Racing, Futuristic"
World of Warcraft,"74,99 €",4 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Flipnote Studio,"75,99 €",4 / 5,Out of Stock,"Miscellaneous, General, Application"
God of War III,"88,99 €",4 / 5,In stock,"Action Adventure, Fantasy, Linear"
NHL 2002,"83,99 €",4 / 5,Out of Stock,"Sports, Traditional, Ice Hockey, Sim"
Uncharted 3: Drake's Deception,"84,99 €",4 / 5,In stock,"Action Adventure, Modern, Linear"
Bloodborne,"88,99 €",4 / 5,Out of Stock,"Fantasy, Role-Playing, Action Adventure, General, Action RPG"
Eternal Darkness: Sanity's Requiem,"87,99 €",4 / 5,In stock,"Action Adventure, Horror"
Warcraft III: Reign of Chaos,"92,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
Sid Meier's Gettysburg!,"74,99 €",4 / 5,In stock,"Strategy, Real-Time, Wargame, General"
Forza Motorsport,"76,99 €",4 / 5,Out of Stock,"Driving, Racing, GT / Street"
Advance Wars,"89,99 €",4 / 5,In stock,"Strategy, Turn-Based, Modern"
Vagrant Story,"90,99 €",4 / 5,Out of Stock,"Role-Playing, Action RPG"
Team Fortress 2,"90,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Modern, Tactical"
System Shock 2,"91,99 €",4 / 5,Out of Stock,"Action Adventure, Sci-Fi, Survival"
Final Fantasy XII,"76,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Super Mario World: Super Mario Advance 2,"90,99 €",4 / 5,Out of Stock,"Action, Platformer, 2D"
Super Smash Bros. Melee,"91,99 €",4 / 5,In stock,"Action, Fighting, 3D"
Rome: Total War,"90,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
Forza Motorsport 3,"81,99 €",4 / 5,In stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Super Mario Sunshine,"84,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
Tony Hawk's Pro Skater,"88,99 €",4 / 5,In stock,"Sports, Alternative, Skateboarding"
Thief: The Dark Project,"90,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy, General"
Fire Emblem: Awakening,"90,99 €",4 / 5,In stock,"Strategy, Turn-Based, Fantasy, Tactics"
Age of Empires II: The Age of Kings,"91,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Historic, Command"
Final Fantasy X,"89,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Unreal Tournament (1999),"90,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Sid Meier's Alpha Centauri,"88,99 €",4 / 5,In stock,"Strategy, Turn-Based, Sci-Fi, 4X"
Wave Race 64,"83,99 €",4 / 5,Out of Stock,"Driving, Racing, Snow / Water"
Galactic Civilizations II: Twilight of the Arnor,"82,99 €",4 / 5,In stock,"Strategy, Turn-Based, Sci-Fi, 4X"
Super Smash Bros. for Wii U,"89,99 €",4 / 5,Out of Stock,"Action, Fighting, 3D, 2D"
Chrono Trigger,"91,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG, Japanese-Style"
Xenoblade Chronicles,"91,99 €",4 / 5,Out of Stock,"Role-Playing, Action RPG, Console-style RPG"
Conker's Bad Fur Day,"89,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Mario Kart 8 Deluxe,"86,99 €",4 / 5,Out of Stock,"Other, Racing, Arcade, Automobile"
The ICO & Shadow of the Colossus Collection,"87,99 €",4 / 5,In stock,"Miscellaneous, Action Adventure, Fantasy, Compilation"
Metroid Prime 2: Echoes,"89,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi"
Out of the Park Baseball 17,"33,99 €",4 / 5,In stock,"Sports, Baseball, Sim, Team"
Metroid Fusion,"91,99 €",4 / 5,Out of Stock,"Action Adventure, Sci-Fi"
Final Fantasy VI Advance,"87,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Dishonored,"85,99 €",4 / 5,Out of Stock,"Action Adventure, Modern, General"
Medal of Honor: Allied Assault,"85,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Historic, Arcade"
Myth: The Fallen Lords,"85,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
LittleBigPlanet 2,"86,99 €",4 / 5,In stock,"Action, Platformer, 3D, 2D"
Psychonauts 2,"55,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D, ""Beat-Em-Up"", Action Adventure, Open-World"
Guitar Hero,"86,99 €",4 / 5,In stock,"Miscellaneous, Rhythm, Music"
World of Warcraft: Wrath of the Lich King,"79,99 €",4 / 5,Out of Stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Metroid Prime Trilogy,"90,99 €",4 / 5,In stock,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi"
F1 Challenge '99-'02,"76,99 €",4 / 5,Out of Stock,"Driving, Racing, Simulation, Formula One, Automobile"
Baldur's Gate,"89,99 €",4 / 5,In stock,"Role-Playing, PC-style RPG, Western-Style"
Klonoa 2: Lunatea's Veil,"86,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
IL-2 Sturmovik,"87,99 €",4 / 5,In stock,"Simulation, Flight, WWII, Combat"
Mario Tennis,"88,99 €",4 / 5,Out of Stock,"Sports, Traditional, Tennis"
FreeSpace 2,"87,99 €",4 / 5,In stock,"Simulation, Sci-Fi, Space, Small Spaceship, Combat"
Colony Wars,"83,99 €",4 / 5,Out of Stock,"Simulation, Sci-Fi, Small Spaceship"
Ratchet & Clank: Up Your Arsenal,"91,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Resident Evil (2002),"92,99 €",4 / 5,Out of Stock,"Action Adventure, Horror"
Metal Gear Solid 3: Snake Eater,"92,99 €",4 / 5,In stock,"Action Adventure, Modern"
Twisted Metal: Black,"84,99 €",4 / 5,Out of Stock,"Driving, Car Combat"
Spyro: Year of the Dragon,"89,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Tomb Raider,"84,99 €",4 / 5,Out of Stock,"Action Adventure, Modern"
Factorio,"91,99 €",4 / 5,In stock,"Strategy, Management, Business / Tycoon"
Resident Evil 4: Wii Edition,"89,99 €",4 / 5,Out of Stock,"Action Adventure, Horror, Survival"
Peggle,"73,99 €",4 / 5,In stock,"Miscellaneous, Puzzle, Action"
The Legend of Zelda: Ocarina of Time / Master Quest,"89,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy"
Sonic Mania Plus,"81,99 €",4 / 5,In stock,"Action, Platformer, 2D"
Kentucky Route Zero - Act III,"66,99 €",4 / 5,Out of Stock,"Adventure, General"
Crysis,"81,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Ninja Gaiden,"88,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy"
God of War: Chains of Olympus,"86,99 €",4 / 5,In stock,"Action Adventure, Fantasy, Linear"
DOA2: Hardcore,"81,99 €",4 / 5,Out of Stock,"Action, Fighting, 3D"
World of Warcraft: The Burning Crusade,"65,99 €",4 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Yoshi's Island: Super Mario Advance 3,"89,99 €",4 / 5,Out of Stock,"Action, Platformer, 2D"
The Longest Journey,"87,99 €",4 / 5,In stock,"Adventure, Third-Person, Point-and-Click, Fantasy"
Star Wars Jedi Knight: Dark Forces II,"86,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Halo: Reach,"84,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Galactic Civilizations II: Dark Avatar,"78,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Sci-Fi, 4X"
Mass Effect,"87,99 €",4 / 5,In stock,"Role-Playing, Action RPG, Console-style RPG, Japanese-Style, Western-Style"
Crusader Kings III,"84,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, General"
Forza Motorsport 4,"83,99 €",4 / 5,In stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Battlefield 2,"84,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Tactical, Modern"
Planescape: Torment,"92,99 €",4 / 5,In stock,"Role-Playing, General, PC-style RPG, Western-Style"
Gears of War 3,"81,99 €",4 / 5,Out of Stock,"Action, Shooter, Third-Person, Sci-Fi, Arcade"
Killzone 2,"81,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Neverwinter Nights,"82,99 €",4 / 5,Out of Stock,"Role-Playing, PC-style RPG, Western-Style"
Castlevania: Aria of Sorrow,"89,99 €",4 / 5,In stock,"Action, Platformer, 2D"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,"86,99 €",4 / 5,Out of Stock,"Action, Action Adventure, Shooter, General, First-Person, Modern, Arcade"
Legacy of Kain: Soul Reaver,"90,99 €",4 / 5,In stock,"Action Adventure, Horror"
Dragon Age: Origins,"88,99 €",4 / 5,Out of Stock,"Role-Playing, PC-style RPG, Western-Style"
Golden Sun,"90,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Disco Elysium,"84,99 €",4 / 5,Out of Stock,"Role-Playing, General"
SteamWorld Heist: Ultimate Edition,"83,99 €",4 / 5,In stock,"Strategy, Turn-Based, General"
The Legend of Zelda: A Link Between Worlds,"90,99 €",4 / 5,Out of Stock,"Action RPG, Role-Playing, Action Adventure, General, Open-World"
NieR: Automata - Game of the YoRHa Edition,"87,99 €",4 / 5,In stock,"Role-Playing, Action RPG"
Castlevania: Circle of the Moon,"83,99 €",4 / 5,Out of Stock,"Action, Platformer, 2D"
Shovel Knight: Treasure Trove,"82,99 €",4 / 5,In stock,"Action, Platformer, 2D"
flower,"73,99 €",4 / 5,Out of Stock,"General, Miscellaneous"
Mario Kart DS,"87,99 €",4 / 5,In stock,"Driving, Racing, Arcade, Kart, Automobile"
Call of Duty,"84,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Third-Person, Historic, Tactical, Arcade"
Mario Golf,"80,99 €",4 / 5,In stock,"Sports, Traditional, Golf, Arcade"
Crash Bandicoot 3: Warped,"90,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
Project Gotham Racing 2,"87,99 €",4 / 5,In stock,"Driving, Racing, GT / Street"
Animal Crossing: New Horizons,"55,99 €",4 / 5,Out of Stock,"Simulation, Virtual, Virtual Life"
World of Warcraft: Cataclysm,"58,99 €",4 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Rayman 2: The Great Escape,"88,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
Diablo III: Ultimate Evil Edition,"79,99 €",4 / 5,In stock,"Action RPG, Role-Playing"
ICO,"88,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy"
Mario & Luigi: Superstar Saga,"89,99 €",4 / 5,In stock,"Role-Playing, Console-style RPG"
Ape Escape,"84,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
Syphon Filter,"88,99 €",4 / 5,In stock,"Action, Shooter, Third-Person, Modern"
Mario & Luigi: Bowser's Inside Story,"88,99 €",4 / 5,Out of Stock,"Role-Playing, Action RPG, Console-style RPG, Japanese-Style"
Trials Evolution,"80,99 €",4 / 5,In stock,"Driving, Racing, Simulation, Motorcycle, Automobile, Street"
Grand Theft Auto IV: The Lost and Damned,"80,99 €",4 / 5,Out of Stock,"Action Adventure, Modern, Open-World"
Ratchet & Clank: Going Commando,"89,99 €",4 / 5,In stock,"Action, Platformer, 3D"
NBA Street Vol. 2,"87,99 €",4 / 5,Out of Stock,"Sports, Traditional, Basketball, Arcade"
Tennis 2K2,"79,99 €",4 / 5,In stock,"Sports, Traditional, Tennis"
Black & White,"77,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Fantasy, General"
The Legend of Zelda: The Wind Waker HD,"90,99 €",4 / 5,In stock,"Action Adventure, Fantasy, Open-World"
Portal,"92,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Tetris Effect,"66,99 €",4 / 5,In stock,"Puzzle, Stacking"
The Legend of Zelda: Phantom Hourglass,"80,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy, Open-World"
Dance Dance Revolution,"84,99 €",4 / 5,In stock,"Miscellaneous, Rhythm, Dancing"
Advance Wars: Dual Strike,"88,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Modern, Tactics"
NieR: Automata - Become as Gods Edition,"90,99 €",4 / 5,In stock,"Role-Playing, Action RPG"
Jak and Daxter: The Precursor Legacy,"88,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
Star Wars Rogue Leader: Rogue Squadron II,"86,99 €",4 / 5,In stock,"Simulation, Sci-Fi, Small Spaceship"
Stephen's Sausage Roll,"55,99 €",4 / 5,Out of Stock,"Puzzle, Action, General"
NCAA Football 2002,"84,99 €",4 / 5,In stock,"Sports, Traditional, Football, Sim"
Deus Ex,"92,99 €",4 / 5,Out of Stock,"Action Adventure, Sci-Fi, General"
Donkey Kong 64,"86,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Panzer Dragoon Orta,"84,99 €",4 / 5,Out of Stock,"Action, Shooter, Rail"
Portal: Still Alive,"86,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Half-Life 2: Episode Two,"92,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,"86,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Shin Megami Tensei: Persona 4,"77,99 €",4 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Hollow Knight,"90,99 €",4 / 5,In stock,"Action Adventure, General"
Blast Corps,"83,99 €",4 / 5,Out of Stock,"Action, General"
Sid Meier's Civilization III,"84,99 €",4 / 5,In stock,"Strategy, Turn-Based, Historic, 4X"
NFL 2K2,"71,99 €",4 / 5,Out of Stock,"Sports, Traditional, Football, Sim"
WWF SmackDown! 2: Know Your Role,"84,99 €",4 / 5,In stock,"Action, Fighting, Wrestling"
Silent Hunter III,"78,99 €",4 / 5,Out of Stock,"Simulation, Submarine, Marine, Combat"
Dead Space 2,"86,99 €",4 / 5,In stock,"Action, Shooter, Third-Person, Sci-Fi, Arcade"
Pikmin 2,"90,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Fantasy"
Geometry Wars: Retro Evolved 2,"83,99 €",4 / 5,In stock,"Action, Shooter, Static, ""Shoot-Em-Up"", Top-Down"
Sid Meier's Civilization V,"80,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Historic, 4X"
Super Mario 3D Land,"84,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Mario Kart 8 DLC Pack 2,"89,99 €",4 / 5,Out of Stock,"Driving, Kart, Racing, Arcade, Automobile"
Falcon 4.0: Allied Force,"77,99 €",4 / 5,In stock,"Simulation, Flight, Modern Jet, Combat"
Deus Ex: Human Revolution,"85,99 €",4 / 5,Out of Stock,"Action, Action Adventure, Shooter, Sci-Fi, General, First-Person"
Metroid Prime 3: Corruption,"88,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Flight Simulator 2002,"73,99 €",4 / 5,Out of Stock,"Simulation, Flight, Civilian Plane, Civilian"
Banjo-Tooie,"88,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Uncharted: Drake's Fortune,"79,99 €",4 / 5,Out of Stock,"Action Adventure, Modern, Linear"
Warcraft III: The Frozen Throne,"92,99 €",4 / 5,In stock,"Strategy, Real-Time, Fantasy, General"
Tactics Ogre: The Knight of Lodis,"88,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy"
Starcraft,"91,99 €",4 / 5,In stock,"Strategy, Real-Time, Sci-Fi, Command"
The Last of Us: Left Behind,"47,99 €",4 / 5,Out of Stock,"Action Adventure, General, Modern"
Star Wars Pinball: Balance of the Force,"61,99 €",4 / 5,In stock,"Action, Miscellaneous, Parlor, Pinball"
The Secret of Monkey Island: Special Edition,"84,99 €",4 / 5,Out of Stock,"Adventure, General, Point-and-Click"
Project Gotham Racing 3,"79,99 €",4 / 5,In stock,"Driving, Racing, Simulation, GT / Street, Automobile"
The World Ends with You,"87,99 €",4 / 5,Out of Stock,"Role-Playing, Action RPG"
Dishonored 2,"80,99 €",4 / 5,In stock,"Action Adventure, General"
Injustice 2: Legendary Edition,"77,99 €",4 / 5,Out of Stock,"Action, Fighting, 2D"
Divinity: Original Sin Enhanced Edition,"80,99 €",4 / 5,In stock,"Role-Playing, Action RPG, Western-Style"
Minecraft: Xbox One Edition,"73,99 €",4 / 5,Out of Stock,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy"
JSRF: Jet Set Radio Future,"83,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Red Faction,"79,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi"
Myth II: Soulblighter,"88,99 €",4 / 5,In stock,"Strategy, Real-Time, Fantasy, General"
Ninja Gaiden Sigma,"76,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy, General"
Fire Emblem Fates: Special Edition,"80,99 €",4 / 5,In stock,"Strategy, Turn-Based, Tactics"
Pinball FX 2,"82,99 €",4 / 5,Out of Stock,"Action, Miscellaneous, Parlor, Pinball"
Final Fantasy Tactics: The War of the Lions,"91,99 €",4 / 5,In stock,"Strategy, Turn-Based, Fantasy, Tactics"
NHL 11,"77,99 €",4 / 5,Out of Stock,"Sports, Traditional, Team, Ice Hockey, Sim"
Wario Land 4,"87,99 €",4 / 5,In stock,"Action, Platformer, 2D"
Metroid Dread,"88,99 €",4 / 5,Out of Stock,"Action Adventure, Open-World"
The Elder Scrolls III: Morrowind Game of the Year Edition,"86,99 €",4 / 5,In stock,"Role-Playing, First-Person"
WarioWare: Twisted!,"87,99 €",4 / 5,Out of Stock,"Miscellaneous, Puzzle, General"
Halo: The Master Chief Collection - Halo 3,"79,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Arcade"
Pokemon Y,"75,99 €",4 / 5,Out of Stock,"Role-Playing, Console-style RPG, Trainer"
Return to Castle Wolfenstein,"87,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Historic, Arcade"
Ratchet & Clank: Rift Apart,"87,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
NBA Street,"60,99 €",4 / 5,In stock,"Sports, Traditional, Basketball, Arcade"
Shogo: Mobile Armor Division,"84,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Thirty Flights of Loving,"50,99 €",4 / 5,In stock,"Adventure, General, 3D, First-Person"
Hearthstone: Heroes of Warcraft,"58,99 €",4 / 5,Out of Stock,"Card Battle, Strategy, Miscellaneous, Turn-Based"
Unity of Command II,"77,99 €",4 / 5,In stock,"Strategy, Turn-Based, 4X"
Ghost of Tsushima: Director's Cut,"67,99 €",4 / 5,Out of Stock,"Action Adventure, Open-World"
Grand Theft Auto: Liberty City Stories,"77,99 €",4 / 5,In stock,"Action Adventure, Modern, Open-World"
Medieval II: Total War,"90,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
Super Mario Maker 2,"85,99 €",4 / 5,In stock,"Action, Platformer, 2D"
Sly 2: Band of Thieves,"90,99 €",4 / 5,Out of Stock,"Action, Platformer, 3D"
Doom 3,"81,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi"
Tekken: Dark Resurrection,"86,99 €",4 / 5,Out of Stock,"Action, Fighting, 3D"
The Stanley Parable,"80,99 €",4 / 5,In stock,"Action, Adventure, General, 3D, First-Person, Modern"
Slay the Spire,"69,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Card Battle"
Guacamelee! Gold Edition,"75,99 €",4 / 5,In stock,"Action, Platformer, 2D"
Counter-Strike: Source,"89,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Tactical, Modern"
Fire Emblem,"90,99 €",4 / 5,In stock,"Strategy, Turn-Based, Fantasy"
Fire Emblem Fates: Revelation,"73,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Tactics"
Need for Speed: High Stakes,"85,99 €",4 / 5,In stock,"Driving, Racing, Arcade"
Street Fighter III: Third Strike Online Edition,"72,99 €",4 / 5,Out of Stock,"Action, Fighting, 2D"
Professor Layton and the Unwound Future,"87,99 €",4 / 5,In stock,"Miscellaneous, Puzzle, General"
We Love Katamari,"88,99 €",4 / 5,Out of Stock,"Action, General"
Worldwide Soccer Manager 2008,"73,99 €",4 / 5,In stock,"Sports, Traditional, Team, Soccer, Management"
Dance Central 2,"81,99 €",4 / 5,Out of Stock,"Action, Miscellaneous, Rhythm, Dancing"
Sly Cooper and the Thievius Raccoonus,"85,99 €",4 / 5,In stock,"Action, Platformer, 3D"
IL-2 Sturmovik: Forgotten Battles,"80,99 €",4 / 5,Out of Stock,"Simulation, Flight, WWII, Combat"
DiRT 3,"70,99 €",4 / 5,In stock,"Driving, Racing, Simulation, Rally / Offroad, Automobile"
Minecraft: PlayStation 3 Edition,"68,99 €",4 / 5,Out of Stock,"Fantasy, Action Adventure, Adventure, 3D, Sandbox, First-Person"
Devotion,"78,99 €",4 / 5,In stock,"Action Adventure, Survival"
